,slice_file_name,fsID,start,end,salience,fold,classID,class
22,100852-0-0-0.wav,100852,0.0,4.0,1,5,0,air_conditioner
23,100852-0-0-1.wav,100852,0.5,4.5,1,5,0,air_conditioner
24,100852-0-0-10.wav,100852,5.0,9.0,1,5,0,air_conditioner
25,100852-0-0-11.wav,100852,5.5,9.5,1,5,0,air_conditioner
26,100852-0-0-12.wav,100852,6.0,10.0,1,5,0,air_conditioner
27,100852-0-0-13.wav,100852,6.5,10.5,1,5,0,air_conditioner
28,100852-0-0-14.wav,100852,7.0,11.0,1,5,0,air_conditioner
29,100852-0-0-15.wav,100852,7.5,11.5,1,5,0,air_conditioner
30,100852-0-0-16.wav,100852,8.0,12.0,1,5,0,air_conditioner
31,100852-0-0-17.wav,100852,8.5,12.5,1,5,0,air_conditioner
32,100852-0-0-18.wav,100852,9.0,13.0,1,5,0,air_conditioner
33,100852-0-0-19.wav,100852,9.5,13.5,1,5,0,air_conditioner
34,100852-0-0-2.wav,100852,1.0,5.0,1,5,0,air_conditioner
35,100852-0-0-20.wav,100852,10.0,14.0,1,5,0,air_conditioner
36,100852-0-0-21.wav,100852,10.5,14.5,1,5,0,air_conditioner
37,100852-0-0-22.wav,100852,11.0,15.0,1,5,0,air_conditioner
38,100852-0-0-23.wav,100852,11.5,15.5,1,5,0,air_conditioner
39,100852-0-0-24.wav,100852,12.0,16.0,1,5,0,air_conditioner
40,100852-0-0-25.wav,100852,12.5,16.5,1,5,0,air_conditioner
41,100852-0-0-26.wav,100852,13.0,17.0,1,5,0,air_conditioner
42,100852-0-0-27.wav,100852,13.5,17.5,1,5,0,air_conditioner
43,100852-0-0-28.wav,100852,14.0,18.0,1,5,0,air_conditioner
44,100852-0-0-29.wav,100852,14.5,18.5,1,5,0,air_conditioner
45,100852-0-0-3.wav,100852,1.5,5.5,1,5,0,air_conditioner
46,100852-0-0-30.wav,100852,15.0,19.0,1,5,0,air_conditioner
47,100852-0-0-4.wav,100852,2.0,6.0,1,5,0,air_conditioner
48,100852-0-0-5.wav,100852,2.5,6.5,1,5,0,air_conditioner
49,100852-0-0-6.wav,100852,3.0,7.0,1,5,0,air_conditioner
50,100852-0-0-7.wav,100852,3.5,7.5,1,5,0,air_conditioner
51,100852-0-0-8.wav,100852,4.0,8.0,1,5,0,air_conditioner
52,100852-0-0-9.wav,100852,4.5,8.5,1,5,0,air_conditioner
67,101729-0-0-1.wav,101729,0.5,4.5,2,9,0,air_conditioner
